Rk,Name,Age,Tm,IP,G,GS,Wgs,Lgs,ND,Wchp,Ltuf,Wtm,Ltm,tmW-L%,Wlst,Lsv,CG,SHO,QS,QS%,GmScA,Best,Wrst,BQR,BQS,sDR,lDR,RS/GS,RS/IP,IP/GS,Pit/GS,<80,80-99,100-119,≥120,Max,Name-additional
1,Cory Abbott,26,WSN,48,16,9,0,5,4,0,0,1,8,0.111,1,2,0,0,1,11%,44.4,64,16,8,5,3,3,2.8,1.1,4.3,81,4,5,0,0,90,abbotco01
2,Joan Adon,23,WSN,64.2,14,14,1,12,1,0,0,1,13,0.071,0,1,0,0,2,14%,40.3,70,13,12,4,0,7,1.8,1.9,4.6,86,2,12,0,0,98,adonjo01
3,Keegan Akin*,27,BAL,81.2,45,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0%,48,48,48,21,9,1,0,4,4.5,2.3,42,1,0,0,0,42,akinke01
4,Sandy Alcantara,26,MIA,228.2,32,32,14,9,9,0,3,19,13,0.594,3,2,6,1,24,75%,63.8,88,21,8,2,0,17,3.5,3.1,7.1,102,0,13,19,0,117,alcansa01
5,Jason Alexander,29,MIL,71.2,18,11,2,3,6,2,0,4,7,0.364,2,0,0,0,1,9%,44,62,26,11,2,0,6,4,5.1,5.1,82,4,7,0,0,97,alexaja01
6,Scott Alexander*,32,SFG,17.1,17,4,0,0,4,0,0,2,2,0.5,0,0,0,0,0,0%,52.3,55,49,3,0,4,0,3,0,1.1,14,4,0,0,0,15,alexasc02
7,Tyler Alexander*,27,DET,101,27,17,2,11,4,0,1,3,14,0.176,1,2,0,0,4,24%,44.7,75,17,7,1,0,9,2.9,3.3,4.7,77,9,8,0,0,97,alexaty01
8,Chase Anderson,34,CIN,24,9,7,2,3,2,2,0,3,4,0.429,0,0,0,0,0,0%,48.7,62,24,8,5,1,4,4,2.3,3.2,66,4,3,0,0,89,anderch01
9,Ian Anderson,24,ATL,111.2,22,22,10,6,6,5,1,15,7,0.682,2,1,0,0,6,27%,47.5,78,14,23,13,0,14,6,7,5.1,91,3,14,5,0,104,anderia01
10,Tyler Anderson*,32,LAD,178.2,30,28,14,5,9,3,3,20,8,0.714,0,6,0,0,18,64%,58.4,81,29,11,3,0,18,5.5,4.7,6.1,88,3,23,1,1,123,anderty01
